"external_gene_name","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IL4I1","interleukin 4 induced 1",26.9543854951209,6.53402897304624,1.02668728318919,6.36418613538256,1.96327939462854e-10,2.53619350061345e-08
"NCF1C","neutrophil cytosolic factor 1C (pseudogene)",30.9725801701222,5.68428855943409,0.845306285038214,6.7245312853401,1.76158569003436e-11,2.66793879800498e-09
"CXCL8","C-X-C motif chemokine ligand 8",9.87181148550183,6.06511569461804,1.43508459023507,4.22631232743191,2.37552217730867e-05,0.000601591255656792
"HSPA6","heat shock protein family A (Hsp70) member 6",16.4727316842218,7.36471548110189,1.20940563369158,6.08953297052362,1.13240543051343e-09,1.19002714901847e-07
"NCF1B","neutrophil cytosolic factor 1B (pseudogene)",33.246817310624,5.68629845198411,0.800755045555187,7.10117093054548,1.23704261903494e-12,2.48179667257814e-10
"MAFB","MAF bZIP transcription factor B",7.06191749095612,5.64050269702259,1.13581171387719,4.96605434519448,6.83288145079125e-07,3.20833898637761e-05
"HSPA7","heat shock protein family A (Hsp70) member 7 (pseudogene)",8.02030507505426,5.80879019685016,1.16314403336139,4.9940420362758,5.91285191204941e-07,2.83669988625277e-05
"WAKMAR2","wound and keratinocyte migration associated lncRNA 2",37.9512526724089,5.77211298795149,0.524358646800854,11.007948516092,3.49879826999495e-28,2.7024717837441e-25
"MIR3142HG","MIR3142 host gene",5.43127133974799,6.26660361533952,1.24407619150211,5.03715420176409,4.72504120167442e-07,2.35093831474824e-05
"CCL3-AS1","CCL3 antisense RNA 1",210.62750927028,5.77979038144149,0.418579650569211,13.80810169243,2.27754518636812e-43,5.02621686271639e-40
